        region1_s1 |       fc | 97.1504955*cm 0*cm 216.9377989*cm | ordered: zxy 90*deg 25*deg 0*deg |   G4Trap | 9.08899*cm -0.4363323*rad 1.5707963*rad 91.8235896*cm 4.5097106*cm 98.0388567*cm 0*rad 91.8235896*cm 4.5097106*cm 98.0388567*cm 0*rad  |    1   1   0   0
     sl3_layer6_s6 | region2_s6 | -3.9751964*cm -11.2828544*cm -5.8314735*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.922859*cm -0.4363323*rad 1.5707963*rad 121.7205252*cm 8.0889283*cm 137.2690725*cm -0.1334891*rad 121.7205252*cm 8.0889283*cm 137.2690725*cm -0.1334891*rad  |    6   2   3   6
     sl4_layer1_s6 | region2_s6 | 4.1377253*cm -10.7655969*cm 5.1710355*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.9778955*cm -0.4363323*rad 1.5707963*rad 128.9017516*cm 7.2498007*cm 144.0512714*cm 0.1334891*rad 128.9017516*cm 7.2498007*cm 144.0512714*cm 0.1334891*rad  |    6   2   4   1
     sl4_layer2_s6 | region2_s6 | 4.1312112*cm -11.9132885*cm 7.1468265*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.9778955*cm -0.4363323*rad 1.5707963*rad 128.9017516*cm 7.1307011*cm 143.9321718*cm 0.1334891*rad 128.9017516*cm 7.1307011*cm 143.9321718*cm 0.1334891*rad  |    6   2   4   2
     sl4_layer3_s6 | region2_s6 | 4.1909128*cm -10.7600067*cm 9.1226175*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.9778955*cm -0.4363323*rad 1.5707963*rad 128.9017516*cm 8.222234*cm 145.0237048*cm 0.1334891*rad 128.9017516*cm 8.222234*cm 145.0237048*cm 0.1334891*rad  |    6   2   4   3
     sl4_layer4_s6 | region2_s6 | 4.1843987*cm -11.9076983*cm 11.0984085*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.9778955*cm -0.4363323*rad 1.5707963*rad 128.9017516*cm 8.1031345*cm 144.9046052*cm 0.1334891*rad 128.9017516*cm 8.1031345*cm 144.9046052*cm 0.1334891*rad  |    6   2   4   4
     sl4_layer5_s6 | region2_s6 | 4.2441003*cm -10.7544165*cm 13.0741995*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.9778955*cm -0.4363323*rad 1.5707963*rad 128.9017516*cm 9.1946674*cm 145.9961381*cm 0.1334891*rad 128.9017516*cm 9.1946674*cm 145.9961381*cm 0.1334891*rad  |    6   2   4   5
     sl4_layer6_s6 | region2_s6 | 4.2375861*cm -11.902108*cm 15.0499905*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.9778955*cm -0.4363323*rad 1.5707963*rad 128.9017516*cm 9.0755678*cm 145.8770385*cm 0.1334891*rad 128.9017516*cm 9.0755678*cm 145.8770385*cm 0.1334891*rad  |    6   2   4   6
        region3_s1 |       fc | 227.2394445*cm 0*cm 457.3735853*cm | ordered: zxy 90*deg 25*deg 0*deg |   G4Trap | 20.877781*cm -0.4363323*rad 1.5707963*rad 216.1087541*cm 8.8578648*cm 229.8449953*cm 0*rad 216.1087541*cm 8.8578648*cm 229.8449953*cm 0*rad  |    1   3   0   0
     sl5_layer1_s1 | region3_s1 | -5.7472309*cm -14.1977564*cm -18.532361*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 1.39271*cm -0.4363323*rad 1.5707963*rad 183.0272291*cm 12.0645566*cm 202.3905122*cm -0.1323475*rad 183.0272291*cm 12.0645566*cm 202.3905122*cm -0.1323475*rad  |    1   3   5   1
     sl5_layer2_s1 | region3_s1 | -5.7383497*cm -15.8273217*cm -15.726941*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 1.39271*cm -0.4363323*rad 1.5707963*rad 183.0272291*cm 11.8988586*cm 202.2248142*cm -0.1323475*rad 183.0272291*cm 11.8988586*cm 202.2248142*cm -0.1323475*rad  |    1   3   5   2
     sl5_layer3_s1 | region3_s1 | -5.8197445*cm -14.190135*cm -12.921521*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 1.39271*cm -0.4363323*rad 1.5707963*rad 183.0272291*cm 13.417461*cm 203.7434166*cm -0.1323475*rad 183.0272291*cm 13.417461*cm 203.7434166*cm -0.1323475*rad  |    1   3   5   3
     sl5_layer4_s1 | region3_s1 | -5.8108633*cm -15.8197002*cm -10.116101*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 1.39271*cm -0.4363323*rad 1.5707963*rad 183.0272291*cm 13.2517629*cm 203.5777185*cm -0.1323475*rad 183.0272291*cm 13.2517629*cm 203.5777185*cm -0.1323475*rad  |    1   3   5   4
     sl5_layer5_s1 | region3_s1 | -5.8922581*cm -14.1825135*cm -7.310681*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 1.39271*cm -0.4363323*rad 1.5707963*rad 183.0272291*cm 14.7703654*cm 205.096321*cm -0.1323475*rad 183.0272291*cm 14.7703654*cm 205.096321*cm -0.1323475*rad  |    1   3   5   5
     sl5_layer6_s1 | region3_s1 | -5.8833769*cm -15.8120787*cm -4.505261*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 1.39271*cm -0.4363323*rad 1.5707963*rad 183.0272291*cm 14.6046673*cm 204.9306229*cm -0.1323475*rad 183.0272291*cm 14.6046673*cm 204.9306229*cm -0.1323475*rad  |    1   3   5   6
     sl6_layer1_s1 | region3_s1 | 6.0352312*cm -14.1591115*cm 3.734105*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 1.456973*cm -0.4363323*rad 1.5707963*rad 191.41234*cm 13.0781061*cm 212.1235524*cm 0.1323475*rad 191.41234*cm 13.0781061*cm 212.1235524*cm 0.1323475*rad  |    1   3   6   1
     sl6_layer2_s1 | region3_s1 | 6.0259432*cm -15.8633327*cm 6.668051*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 1.456973*cm -0.4363323*rad 1.5707963*rad 191.41234*cm 12.9048168*cm 211.9502632*cm 0.1323475*rad 191.41234*cm 12.9048168*cm 211.9502632*cm 0.1323475*rad  |    1   3   6   2
     sl6_layer3_s1 | region3_s1 | 6.1110669*cm -14.1511408*cm 9.601997*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 1.456973*cm -0.4363323*rad 1.5707963*rad 191.41234*cm 14.4929917*cm 213.538438*cm 0.1323475*rad 191.41234*cm 14.4929917*cm 213.538438*cm 0.1323475*rad  |    1   3   6   3
     sl6_layer4_s1 | region3_s1 | 6.1017789*cm -15.8553621*cm 12.535943*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 1.456973*cm -0.4363323*rad 1.5707963*rad 191.41234*cm 14.3197024*cm 213.3651488*cm 0.1323475*rad 191.41234*cm 14.3197024*cm 213.3651488*cm 0.1323475*rad  |    1   3   6   4
     sl6_layer5_s1 | region3_s1 | 6.1869026*cm -14.1431702*cm 15.469889*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 1.456973*cm -0.4363323*rad 1.5707963*rad 191.41234*cm 15.9078773*cm 214.9533236*cm 0.1323475*rad 191.41234*cm 15.9078773*cm 214.9533236*cm 0.1323475*rad  |    1   3   6   5
     sl6_layer6_s1 | region3_s1 | 6.1776146*cm -15.8473914*cm 18.403835*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 1.456973*cm -0.4363323*rad 1.5707963*rad 191.41234*cm 15.734588*cm 214.7800344*cm 0.1323475*rad 191.41234*cm 15.734588*cm 214.7800344*cm 0.1323475*rad  |    1   3   6   6
        region3_s2 |       fc | 113.6197222*cm 196.7951316*cm 457.3735853*cm | ordered: zxy 30*deg 25*deg 0*deg |   G4Trap | 20.877781*cm -0.4363323*rad 1.5707963*rad 216.1087541*cm 8.8578648*cm 229.8449953*cm 0*rad 216.1087541*cm 8.8578648*cm 229.8449953*cm 0*rad  |    2   3   0   0
     sl5_layer1_s2 | region3_s2 | -5.7472309*cm -14.1977564*cm -18.532361*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 1.39271*cm -0.4363323*rad 1.5707963*rad 183.0272291*cm 12.0645566*cm 202.3905122*cm -0.1323475*rad 183.0272291*cm 12.0645566*cm 202.3905122*cm -0.1323475*rad  |    2   3   5   1
     sl5_layer2_s2 | region3_s2 | -5.7383497*cm -15.8273217*cm -15.726941*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 1.39271*cm -0.4363323*rad 1.5707963*rad 183.0272291*cm 11.8988586*cm 202.2248142*cm -0.1323475*rad 183.0272291*cm 11.8988586*cm 202.2248142*cm -0.1323475*rad  |    2   3   5   2
     sl5_layer3_s2 | region3_s2 | -5.8197445*cm -14.190135*cm -12.921521*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 1.39271*cm -0.4363323*rad 1.5707963*rad 183.0272291*cm 13.417461*cm 203.7434166*cm -0.1323475*rad 183.0272291*cm 13.417461*cm 203.7434166*cm -0.1323475*rad  |    2   3   5   3
     sl5_layer4_s2 | region3_s2 | -5.8108633*cm -15.8197002*cm -10.116101*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 1.39271*cm -0.4363323*rad 1.5707963*rad 183.0272291*cm 13.2517629*cm 203.5777185*cm -0.1323475*rad 183.0272291*cm 13.2517629*cm 203.5777185*cm -0.1323475*rad  |    2   3   5   4
     sl5_layer5_s2 | region3_s2 | -5.8922581*cm -14.1825135*cm -7.310681*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 1.39271*cm -0.4363323*rad 1.5707963*rad 183.0272291*cm 14.7703654*cm 205.096321*cm -0.1323475*rad 183.0272291*cm 14.7703654*cm 205.096321*cm -0.1323475*rad  |    2   3   5   5
     sl5_layer6_s2 | region3_s2 | -5.8833769*cm -15.8120787*cm -4.505261*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 1.39271*cm -0.4363323*rad 1.5707963*rad 183.0272291*cm 14.6046673*cm 204.9306229*cm -0.1323475*rad 183.0272291*cm 14.6046673*cm 204.9306229*cm -0.1323475*rad  |    2   3   5   6
     sl6_layer1_s2 | region3_s2 | 6.0352312*cm -14.1591115*cm 3.734105*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 1.456973*cm -0.4363323*rad 1.5707963*rad 191.41234*cm 13.0781061*cm 212.1235524*cm 0.1323475*rad 191.41234*cm 13.0781061*cm 212.1235524*cm 0.1323475*rad  |    2   3   6   1
     sl6_layer2_s2 | region3_s2 | 6.0259432*cm -15.8633327*cm 6.668051*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 1.456973*cm -0.4363323*rad 1.5707963*rad 191.41234*cm 12.9048168*cm 211.9502632*cm 0.1323475*rad 191.41234*cm 12.9048168*cm 211.9502632*cm 0.1323475*rad  |    2   3   6   2
     sl6_layer3_s2 | region3_s2 | 6.1110669*cm -14.1511408*cm 9.601997*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 1.456973*cm -0.4363323*rad 1.5707963*rad 191.41234*cm 14.4929917*cm 213.538438*cm 0.1323475*rad 191.41234*cm 14.4929917*cm 213.538438*cm 0.1323475*rad  |    2   3   6   3
     sl6_layer4_s2 | region3_s2 | 6.1017789*cm -15.8553621*cm 12.535943*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 1.456973*cm -0.4363323*rad 1.5707963*rad 191.41234*cm 14.3197024*cm 213.3651488*cm 0.1323475*rad 191.41234*cm 14.3197024*cm 213.3651488*cm 0.1323475*rad  |    2   3   6   4
     sl6_layer5_s2 | region3_s2 | 6.1869026*cm -14.1431702*cm 15.469889*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 1.456973*cm -0.4363323*rad 1.5707963*rad 191.41234*cm 15.9078773*cm 214.9533236*cm 0.1323475*rad 191.41234*cm 15.9078773*cm 214.9533236*cm 0.1323475*rad  |    2   3   6   5
     sl6_layer6_s2 | region3_s2 | 6.1776146*cm -15.8473914*cm 18.403835*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 1.456973*cm -0.4363323*rad 1.5707963*rad 191.41234*cm 15.734588*cm 214.7800344*cm 0.1323475*rad 191.41234*cm 15.734588*cm 214.7800344*cm 0.1323475*rad  |    2   3   6   6
        region3_s3 |       fc | -113.6197222*cm 196.7951316*cm 457.3735853*cm | ordered: zxy -30*deg 25*deg 0*deg |   G4Trap | 20.877781*cm -0.4363323*rad 1.5707963*rad 216.1087541*cm 8.8578648*cm 229.8449953*cm 0*rad 216.1087541*cm 8.8578648*cm 229.8449953*cm 0*rad  |    3   3   0   0
     sl5_layer1_s3 | region3_s3 | -5.7472309*cm -14.1977564*cm -18.532361*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 1.39271*cm -0.4363323*rad 1.5707963*rad 183.0272291*cm 12.0645566*cm 202.3905122*cm -0.1323475*rad 183.0272291*cm 12.0645566*cm 202.3905122*cm -0.1323475*rad  |    3   3   5   1
     sl5_layer2_s3 | region3_s3 | -5.7383497*cm -15.8273217*cm -15.726941*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 1.39271*cm -0.4363323*rad 1.5707963*rad 183.0272291*cm 11.8988586*cm 202.2248142*cm -0.1323475*rad 183.0272291*cm 11.8988586*cm 202.2248142*cm -0.1323475*rad  |    3   3   5   2
     sl5_layer3_s3 | region3_s3 | -5.8197445*cm -14.190135*cm -12.921521*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 1.39271*cm -0.4363323*rad 1.5707963*rad 183.0272291*cm 13.417461*cm 203.7434166*cm -0.1323475*rad 183.0272291*cm 13.417461*cm 203.7434166*cm -0.1323475*rad  |    3   3   5   3
     sl5_layer4_s3 | region3_s3 | -5.8108633*cm -15.8197002*cm -10.116101*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 1.39271*cm -0.4363323*rad 1.5707963*rad 183.0272291*cm 13.2517629*cm 203.5777185*cm -0.1323475*rad 183.0272291*cm 13.2517629*cm 203.5777185*cm -0.1323475*rad  |    3   3   5   4
     sl5_layer5_s3 | region3_s3 | -5.8922581*cm -14.1825135*cm -7.310681*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 1.39271*cm -0.4363323*rad 1.5707963*rad 183.0272291*cm 14.7703654*cm 205.096321*cm -0.1323475*rad 183.0272291*cm 14.7703654*cm 205.096321*cm -0.1323475*rad  |    3   3   5   5
     sl5_layer6_s3 | region3_s3 | -5.8833769*cm -15.8120787*cm -4.505261*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 1.39271*cm -0.4363323*rad 1.5707963*rad 183.0272291*cm 14.6046673*cm 204.9306229*cm -0.1323475*rad 183.0272291*cm 14.6046673*cm 204.9306229*cm -0.1323475*rad  |    3   3   5   6
     sl6_layer1_s3 | region3_s3 | 6.0352312*cm -14.1591115*cm 3.734105*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 1.456973*cm -0.4363323*rad 1.5707963*rad 191.41234*cm 13.0781061*cm 212.1235524*cm 0.1323475*rad 191.41234*cm 13.0781061*cm 212.1235524*cm 0.1323475*rad  |    3   3   6   1
     sl6_layer2_s3 | region3_s3 | 6.0259432*cm -15.8633327*cm 6.668051*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 1.456973*cm -0.4363323*rad 1.5707963*rad 191.41234*cm 12.9048168*cm 211.9502632*cm 0.1323475*rad 191.41234*cm 12.9048168*cm 211.9502632*cm 0.1323475*rad  |    3   3   6   2
     sl6_layer3_s3 | region3_s3 | 6.1110669*cm -14.1511408*cm 9.601997*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 1.456973*cm -0.4363323*rad 1.5707963*rad 191.41234*cm 14.4929917*cm 213.538438*cm 0.1323475*rad 191.41234*cm 14.4929917*cm 213.538438*cm 0.1323475*rad  |    3   3   6   3
     sl6_layer4_s3 | region3_s3 | 6.1017789*cm -15.8553621*cm 12.535943*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 1.456973*cm -0.4363323*rad 1.5707963*rad 191.41234*cm 14.3197024*cm 213.3651488*cm 0.1323475*rad 191.41234*cm 14.3197024*cm 213.3651488*cm 0.1323475*rad  |    3   3   6   4
     sl6_layer5_s3 | region3_s3 | 6.1869026*cm -14.1431702*cm 15.469889*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 1.456973*cm -0.4363323*rad 1.5707963*rad 191.41234*cm 15.9078773*cm 214.9533236*cm 0.1323475*rad 191.41234*cm 15.9078773*cm 214.9533236*cm 0.1323475*rad  |    3   3   6   5
     sl6_layer6_s3 | region3_s3 | 6.1776146*cm -15.8473914*cm 18.403835*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 1.456973*cm -0.4363323*rad 1.5707963*rad 191.41234*cm 15.734588*cm 214.7800344*cm 0.1323475*rad 191.41234*cm 15.734588*cm 214.7800344*cm 0.1323475*rad  |    3   3   6   6
        region3_s4 |       fc | -227.2394445*cm 0*cm 457.3735853*cm | ordered: zxy -90*deg 25*deg 0*deg |   G4Trap | 20.877781*cm -0.4363323*rad 1.5707963*rad 216.1087541*cm 8.8578648*cm 229.8449953*cm 0*rad 216.1087541*cm 8.8578648*cm 229.8449953*cm 0*rad  |    4   3   0   0
     sl5_layer1_s4 | region3_s4 | -5.7472309*cm -14.1977564*cm -18.532361*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 1.39271*cm -0.4363323*rad 1.5707963*rad 183.0272291*cm 12.0645566*cm 202.3905122*cm -0.1323475*rad 183.0272291*cm 12.0645566*cm 202.3905122*cm -0.1323475*rad  |    4   3   5   1
     sl5_layer2_s4 | region3_s4 | -5.7383497*cm -15.8273217*cm -15.726941*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 1.39271*cm -0.4363323*rad 1.5707963*rad 183.0272291*cm 11.8988586*cm 202.2248142*cm -0.1323475*rad 183.0272291*cm 11.8988586*cm 202.2248142*cm -0.1323475*rad  |    4   3   5   2
     sl5_layer3_s4 | region3_s4 | -5.8197445*cm -14.190135*cm -12.921521*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 1.39271*cm -0.4363323*rad 1.5707963*rad 183.0272291*cm 13.417461*cm 203.7434166*cm -0.1323475*rad 183.0272291*cm 13.417461*cm 203.7434166*cm -0.1323475*rad  |    4   3   5   3
     sl5_layer4_s4 | region3_s4 | -5.8108633*cm -15.8197002*cm -10.116101*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 1.39271*cm -0.4363323*rad 1.5707963*rad 183.0272291*cm 13.2517629*cm 203.5777185*cm -0.1323475*rad 183.0272291*cm 13.2517629*cm 203.5777185*cm -0.1323475*rad  |    4   3   5   4
     sl5_layer5_s4 | region3_s4 | -5.8922581*cm -14.1825135*cm -7.310681*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 1.39271*cm -0.4363323*rad 1.5707963*rad 183.0272291*cm 14.7703654*cm 205.096321*cm -0.1323475*rad 183.0272291*cm 14.7703654*cm 205.096321*cm -0.1323475*rad  |    4   3   5   5
     sl5_layer6_s4 | region3_s4 | -5.8833769*cm -15.8120787*cm -4.505261*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 1.39271*cm -0.4363323*rad 1.5707963*rad 183.0272291*cm 14.6046673*cm 204.9306229*cm -0.1323475*rad 183.0272291*cm 14.6046673*cm 204.9306229*cm -0.1323475*rad  |    4   3   5   6
     sl6_layer1_s4 | region3_s4 | 6.0352312*cm -14.1591115*cm 3.734105*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 1.456973*cm -0.4363323*rad 1.5707963*rad 191.41234*cm 13.0781061*cm 212.1235524*cm 0.1323475*rad 191.41234*cm 13.0781061*cm 212.1235524*cm 0.1323475*rad  |    4   3   6   1
     sl6_layer2_s4 | region3_s4 | 6.0259432*cm -15.8633327*cm 6.668051*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 1.456973*cm -0.4363323*rad 1.5707963*rad 191.41234*cm 12.9048168*cm 211.9502632*cm 0.1323475*rad 191.41234*cm 12.9048168*cm 211.9502632*cm 0.1323475*rad  |    4   3   6   2
     sl6_layer3_s4 | region3_s4 | 6.1110669*cm -14.1511408*cm 9.601997*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 1.456973*cm -0.4363323*rad 1.5707963*rad 191.41234*cm 14.4929917*cm 213.538438*cm 0.1323475*rad 191.41234*cm 14.4929917*cm 213.538438*cm 0.1323475*rad  |    4   3   6   3
     sl6_layer4_s4 | region3_s4 | 6.1017789*cm -15.8553621*cm 12.535943*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 1.456973*cm -0.4363323*rad 1.5707963*rad 191.41234*cm 14.3197024*cm 213.3651488*cm 0.1323475*rad 191.41234*cm 14.3197024*cm 213.3651488*cm 0.1323475*rad  |    4   3   6   4
     sl6_layer5_s4 | region3_s4 | 6.1869026*cm -14.1431702*cm 15.469889*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 1.456973*cm -0.4363323*rad 1.5707963*rad 191.41234*cm 15.9078773*cm 214.9533236*cm 0.1323475*rad 191.41234*cm 15.9078773*cm 214.9533236*cm 0.1323475*rad  |    4   3   6   5
     sl6_layer6_s4 | region3_s4 | 6.1776146*cm -15.8473914*cm 18.403835*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 1.456973*cm -0.4363323*rad 1.5707963*rad 191.41234*cm 15.734588*cm 214.7800344*cm 0.1323475*rad 191.41234*cm 15.734588*cm 214.7800344*cm 0.1323475*rad  |    4   3   6   6
        region3_s5 |       fc | -113.6197222*cm -196.7951316*cm 457.3735853*cm | ordered: zxy -150*deg 25*deg 0*deg |   G4Trap | 20.877781*cm -0.4363323*rad 1.5707963*rad 216.1087541*cm 8.8578648*cm 229.8449953*cm 0*rad 216.1087541*cm 8.8578648*cm 229.8449953*cm 0*rad  |    5   3   0   0
     sl5_layer1_s5 | region3_s5 | -5.7472309*cm -14.1977564*cm -18.532361*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 1.39271*cm -0.4363323*rad 1.5707963*rad 183.0272291*cm 12.0645566*cm 202.3905122*cm -0.1323475*rad 183.0272291*cm 12.0645566*cm 202.3905122*cm -0.1323475*rad  |    5   3   5   1
     sl5_layer2_s5 | region3_s5 | -5.7383497*cm -15.8273217*cm -15.726941*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 1.39271*cm -0.4363323*rad 1.5707963*rad 183.0272291*cm 11.8988586*cm 202.2248142*cm -0.1323475*rad 183.0272291*cm 11.8988586*cm 202.2248142*cm -0.1323475*rad  |    5   3   5   2
     sl5_layer3_s5 | region3_s5 | -5.8197445*cm -14.190135*cm -12.921521*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 1.39271*cm -0.4363323*rad 1.5707963*rad 183.0272291*cm 13.417461*cm 203.7434166*cm -0.1323475*rad 183.0272291*cm 13.417461*cm 203.7434166*cm -0.1323475*rad  |    5   3   5   3
     sl5_layer4_s5 | region3_s5 | -5.8108633*cm -15.8197002*cm -10.116101*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 1.39271*cm -0.4363323*rad 1.5707963*rad 183.0272291*cm 13.2517629*cm 203.5777185*cm -0.1323475*rad 183.0272291*cm 13.2517629*cm 203.5777185*cm -0.1323475*rad  |    5   3   5   4
     sl5_layer5_s5 | region3_s5 | -5.8922581*cm -14.1825135*cm -7.310681*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 1.39271*cm -0.4363323*rad 1.5707963*rad 183.0272291*cm 14.7703654*cm 205.096321*cm -0.1323475*rad 183.0272291*cm 14.7703654*cm 205.096321*cm -0.1323475*rad  |    5   3   5   5
     sl5_layer6_s5 | region3_s5 | -5.8833769*cm -15.8120787*cm -4.505261*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 1.39271*cm -0.4363323*rad 1.5707963*rad 183.0272291*cm 14.6046673*cm 204.9306229*cm -0.1323475*rad 183.0272291*cm 14.6046673*cm 204.9306229*cm -0.1323475*rad  |    5   3   5   6
     sl6_layer1_s5 | region3_s5 | 6.0352312*cm -14.1591115*cm 3.734105*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 1.456973*cm -0.4363323*rad 1.5707963*rad 191.41234*cm 13.0781061*cm 212.1235524*cm 0.1323475*rad 191.41234*cm 13.0781061*cm 212.1235524*cm 0.1323475*rad  |    5   3   6   1
     sl6_layer2_s5 | region3_s5 | 6.0259432*cm -15.8633327*cm 6.668051*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 1.456973*cm -0.4363323*rad 1.5707963*rad 191.41234*cm 12.9048168*cm 211.9502632*cm 0.1323475*rad 191.41234*cm 12.9048168*cm 211.9502632*cm 0.1323475*rad  |    5   3   6   2
     sl6_layer3_s5 | region3_s5 | 6.1110669*cm -14.1511408*cm 9.601997*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 1.456973*cm -0.4363323*rad 1.5707963*rad 191.41234*cm 14.4929917*cm 213.538438*cm 0.1323475*rad 191.41234*cm 14.4929917*cm 213.538438*cm 0.1323475*rad  |    5   3   6   3
     sl6_layer4_s5 | region3_s5 | 6.1017789*cm -15.8553621*cm 12.535943*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 1.456973*cm -0.4363323*rad 1.5707963*rad 191.41234*cm 14.3197024*cm 213.3651488*cm 0.1323475*rad 191.41234*cm 14.3197024*cm 213.3651488*cm 0.1323475*rad  |    5   3   6   4
     sl6_layer5_s5 | region3_s5 | 6.1869026*cm -14.1431702*cm 15.469889*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 1.456973*cm -0.4363323*rad 1.5707963*rad 191.41234*cm 15.9078773*cm 214.9533236*cm 0.1323475*rad 191.41234*cm 15.9078773*cm 214.9533236*cm 0.1323475*rad  |    5   3   6   5
     sl6_layer6_s5 | region3_s5 | 6.1776146*cm -15.8473914*cm 18.403835*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 1.456973*cm -0.4363323*rad 1.5707963*rad 191.41234*cm 15.734588*cm 214.7800344*cm 0.1323475*rad 191.41234*cm 15.734588*cm 214.7800344*cm 0.1323475*rad  |    5   3   6   6
        region3_s6 |       fc | 113.6197222*cm -196.7951316*cm 457.3735853*cm | ordered: zxy -210*deg 25*deg 0*deg |   G4Trap | 20.877781*cm -0.4363323*rad 1.5707963*rad 216.1087541*cm 8.8578648*cm 229.8449953*cm 0*rad 216.1087541*cm 8.8578648*cm 229.8449953*cm 0*rad  |    6   3   0   0
     sl5_layer1_s6 | region3_s6 | -5.7472309*cm -14.1977564*cm -18.532361*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 1.39271*cm -0.4363323*rad 1.5707963*rad 183.0272291*cm 12.0645566*cm 202.3905122*cm -0.1323475*rad 183.0272291*cm 12.0645566*cm 202.3905122*cm -0.1323475*rad  |    6   3   5   1
     sl5_layer2_s6 | region3_s6 | -5.7383497*cm -15.8273217*cm -15.726941*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 1.39271*cm -0.4363323*rad 1.5707963*rad 183.0272291*cm 11.8988586*cm 202.2248142*cm -0.1323475*rad 183.0272291*cm 11.8988586*cm 202.2248142*cm -0.1323475*rad  |    6   3   5   2
